appendix,decision,page,stt,medicine_name,active_ingredient,dosage_form,packaging,standard,shelf_life_months,registration_number,previous_registration_number,renewal_count
Phụ lục I,Cấp giấy đăng ký lưu hành,16,87,Valsarfast 160mg film- coated tablets,Valsartan 160mg,Viên nén bao phim,Hộp 4 vỉ x 7 viên; Hộp 2 vỉ x 14 viên,NSX,36,383110054626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,16,88,Valsarfast 80mg film- coated tablets,Valsartan 80mg,Viên nén bao phim,Hộp 4 vỉ x 7 viên; Hộp 2 vỉ x 14 viên,NSX,36,383110054726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,16,89,Fosmicin for I.V. Use 2g,Fosfomycin sodium 2g,Thuốc bột pha tiêm,Hộp 10 Lọ,NSX,36,499110054826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,16,90,Halibut 1000 mg,Diosmin 1000mg,Viên nén bao phim,Hộp 3 vỉ x 10 viên; hộp 6 vỉ x 10 viên,NSX,36,599110054926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,17,91,Virtizin 10,"Flunarizine (dưới dạng flunarizine dihydrochloride 11,8mg) 10mg",Viên nang cứng,Hộp 5 vỉ x 10 viên,NSX,30,894110055026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,17,92,Quifsin 200mg/245mg,"Emtricitabin 200mg, Tenofovir disoproxil fumarat 300mg tương đương Tenofovir disoproxil 245mg",Viên nén bao phim,Hộp 3 vỉ x 10 viên,NSX,24,868110055126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,17,93,"Sodium Bicarbonate Renaudin 4,2%",Mỗi ống 10ml chứa: Natri bicarbonat 420mg,Dung dịch tiêm truyền,Hộp 10 ống x 10ml,NSX,60,300110055226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,17,94,Alecast 4 mg,Montelukast (dưới dạng Montelukast natri) 4mg,Viên nhai,Hộp 2 vỉ x 14 viên,NSX,24,868110055326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,17,95,"Acezym XR 0,5mg","Tacrolimus (dưới dạng tacrolimus monohydrat) 0,5mg",Viên nang cứng giải phóng kéo dài,"Hộp 3 vỉ x 10 viên, túi nhôm PE, vỉ nhôm- PVC/PE/PV DC",NSX,24,520114055426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,17,96,Acezym XR 1mg,Tacrolimus (dưới dạng tacrolimus monohydrat) 1mg,Viên nang cứng giải phóng kéo dài,"Hộp 3 vỉ x 10 viên, túi nhôm PE, vỉ nhôm- PVC/PE/PV DC",NSX,24,520114055526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,18,97,Acezym XR 5mg,Tacrolimus (dưới dạng tacrolimus monohydrat) 5mg,Viên nang cứng giải phóng kéo dài,Hộp 3 vỉ x 10 viên,NSX,24,520114055626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,18,98,Dexa-Ease 2 mg,Dexamethasone 2mg,Viên nén,Hộp 5 vỉ x 10 viên,NSX,24,380110055726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,18,99,Ambroxol Hasco,Ambroxol hydrochloride 30mg/5ml,Siro,Hộp 1 Lọ x 50ml,NSX,24,590100055826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,18,100,Ibuprofeno Azevedos,Ibuprofen 600mg,Viên nén bao phim,Hộp 2 vỉ x 10 viên; Hộp 6 vỉ x 10 viên,NSX,36,560110055926,,
